A1971 T3110
A3013 T1510
A2422 T193
A481 T79
A84 T206
A5005 T73
A822 T73
A1291 T86
A4466 T24
A613 T718
A12727 T130
A7039 T84
A711 T84
A2088 T24
A191 T81
A4402 T8099
A7232 T79
A222 T192
A328 T130
A9125 T14
A8925 T73
A7285 T130
A719 T380
A7293 T181
A1988 T403
A12006 T7025
A1233 T109
A11617 T130
A2006 T24
A12617 T185
A4306 T636
A1266 T5
A84 T285
A578 T823
A311 T130
A193 T73
A14710 T79
A1071 T73
A305 T39
A521 T130
A284 T707
A456 T130
A7338 T620
A2206 T24
A8271 T73
A8628 T6303
A4831 T1000
A1236 T718
A14863 T275
A6659 T1345
A505 T1492
A185 T79
A10534 T275
A60 T285
A50 T354
A6061 T47
A1110 T78
A13170 T130
A4918 T130
A2116 T84
A373 T179
A6999 T33
A6362 T39
A62 T134
A62 T1615
A15703 T620
A1512 T109
A3196 T103
A895 T14
A3439 T10133
A4516 T383
A492 T78
A4032 T127
A313 T109
A3428 T78
A10784 T439
A186 T79
A525 T73
A14498 T98
A3752 T33
A1456 T203
A25 T559
A1611 T1873
A67 T3948
A5810 T18
A15258 T127
A5178 T33
A11633 T192
A4894 T7313
A8429 T8477
A10400 T9136
A6999 T296
A75 T1224
A1238 T358
A1241 T72
A1866 T73
A7703 T309
A5886 T180
A8440 T4356
A84 T39
A5709 T24
A1081 T1918
A1097 T79
A8732 T78
A12067 T86
A15943 T1070
A4625 T47
A736 T3031
A67 T195
A622 T39
A53 T187
A568 T249
A4673 T1421
A868 T3604
A7889 T102
A970 T177
A177 T84
A1605 T3112
A8484 T819
A450 T2762
A1058 T18
A15242 T73
A3723 T5
A185 T73
A5675 T191
A843 T56
A3019 T187
A171 T192
A998 T195
A5189 T182
A2017 T689
A2529 T1928
A1151 T296
A3433 T383
A8279 T78
A974 T73
A6887 T16
A6917 T721
A2365 T380
A1081 T73
A6684 T191
A278 T83
A8177 T179
A15313 T102
A1526 T275
A1789 T79
A1234 T192
A2600 T130
A13331 T81
A2359 T73
A7055 T10828
A287 T213
A228 T787
A7600 T10481
A481 T78
A16136 T6642
A313 T130
A1601 T18
A185 T78
A5625 T73
A3152 T185
A1040 T84
A365 T76
A16385 T73
A223 T127
A3245 T11289
A3801 T73
A305 T5168
A3180 T306
A10445 T296
A6027 T14
A8389 T18
A8471 T18
A13406 T8316
A13542 T83
A274 T134
A12418 T13
A964 T39
A4762 T569
A13371 T33
A4507 T558
A1193 T79
A51 T10324
A1568 T238
A16728 T8178
A900 T24
A1602 T11062
A1106 T3196
A2114 T81
A519 T309
A4208 T24
A198 T8527
A4272 T216
A11923 T67
A204 T79
A10981 T201
A15768 T10829
A5063 T2679
A1778 T833
A284 T2304
A1287 T86
A682 T182
A7173 T354
A15952 T817
A84 T39
A201 T81
A224 T81
A8259 T78
A1024 T167
A712 T729
A6703 T195
A222 T73
A557 T3879
A6741 T2592
A3128 T69
A3172 T569
A7172 T84
A1114 T8173
A722 T13
A2572 T73
A185 T79
A5643 T130
A5778 T72
A7347 T134
A7468 T181
A2777 T72
A1421 T5413
A6859 T339
A506 T78
A12849 T191
A62 T18
A5607 T137
A424 T844
A67 T2678
A13514 T253
A529 T73
A1602 T102
A4918 T79
A320 T648
A5331 T192
A13335 T9608
A4097 T297
A62 T24
A506 T185
A67 T47
A9412 T179
A16182 T10766
A543 T18
A3000 T209
A83 T13
A943 T3381
A28 T17
A11338 T134
A284 T130
A12304 T127
A900 T819
A3605 T1873
A1368 T195
A1778 T339
A6856 T20
A224 T81
A3889 T1344
A9631 T18
A3662 T2026
A50 T354
A1820 T2736
A456 T39
A507 T33
A2147 T47
A2423 T130
A222 T357
A3181 T309
A16182 T299
A524 T90
A481 T78
A11550 T387
A920 T9291
A13112 T309
A953 T79
A11660 T82
A6999 T3663
A8928 T844
A86 T16
A8067 T613
A849 T181
A147 T381
A306 T127
A983 T502
A749 T18
A2567 T1951
A1910 T191
A46 T1968
A17272 T109
A3007 T296
A1995 T609
A5779 T179
A1732 T184
A1512 T595
A280 T130
A5755 T84
A15549 T10168
A524 T90
A1077 T18
A1404 T381
A7236 T341
A1496 T84
A1292 T86
A10761 T47
A1944 T387
A372 T177
A4601 T84
A7174 T78
A11699 T364
A701 T1168
A12073 T33
A2516 T216
A11527 T729
A428 T79
A2118 T477
A53 T18
A8176 T340
A6366 T103
A4272 T2076
A633 T39
A9820 T24
A11739 T216
A1095 T823
A524 T39
A14484 T2178
A1624 T84
A1588 T11312
A198 T79
A1109 T521
A7620 T381
A3920 T21
A1108 T9038
A2834 T72
A1262 T86
A17160 T2301
A533 T230
A6260 T73
A4921 T81
A2836 T439
A10439 T285
A14420 T84
A1104 T539
A4743 T2480
A1415 T191
A1612 T102
A67 T24
A324 T3117
A2552 T130
A15751 T81
A62 T208
A1913 T383
A5425 T127
A92 T81
A736 T8785
A7961 T24
A1827 T13
A7639 T15
A1392 T79
A16655 T195
A283 T130
A177 T8729
A1802 T6379
A2412 T18
A185 T81
A1846 T78
A1705 T18
A188 T16
A1774 T184
A1026 T73
A36 T81
A8330 T2048
A10718 T721
A11386 T7658
A7840 T144
A1392 T830
A4538 T2254
A990 T74
A730 T195
A10869 T47
A10096 T18
A730 T73
A1404 T192
A9225 T2104
A2586 T1799
A1231 T84
A170 T721
A5204 T69
A1167 T529
A12269 T296
A324 T1081
A1082 T730
A755 T87
A1234 T694
A2061 T14
A1824 T83
A84 T6474
A6113 T561
A1866 T181
A372 T79
A6035 T127
A192 T33
A339 T216
A905 T24
A869 T960
A10987 T6115
A755 T8939
A436 T275
A947 T1908
A1605 T3480
A185 T79
A885 T354
A2874 T134
A869 T951
A676 T216
A977 T206
A2586 T656
A228 T127
A7155 T73
A721 T89
A13171 T73
A12473 T78
A2052 T8114
A17369 T306
A8384 T81
A7520 T1343
A7295 T778
A1268 T4045
A2158 T14
A1026 T73
A949 T609
A3509 T79
A15262 T385
A6013 T817
A15576 T127
A3998 T73
A855 T192
A7931 T192
A6842 T18
A11251 T14
A10678 T184
A1876 T2152
A9139 T304
A1236 T1070
A339 T24
A1406 T833
A3391 T78
A11208 T87
A1244 T86
A283 T736
A17431 T73
A5890 T1000
A1332 T380
A341 T81
A13160 T87
A149 T81
A2648 T299
A339 T216
A3603 T321
A384 T185
A505 T732
A1324 T86
A1053 T238
A3572 T9432
A8603 T8101
A617 T213
A17512 T1706
A9115 T229
A312 T3114
A48 T191
A13128 T134
A253 T192
A11911 T47
A14838 T24
A983 T130
A12226 T1070
A3308 T67
A3845 T505
A1241 T72
A296 T213
A1006 T844
A6757 T3487
A10799 T39
A16256 T185
A306 T130
A1874 T389
A1505 T182
A84 T9251
A4580 T380
A3165 T1465
A12285 T7659
A1415 T815
A517 T7
A14710 T14
A309 T1225
A287 T348
A1361 T380
A2608 T134
A10677 T2735
A4169 T79
A6147 T409
A1880 T8436
A3318 T9611
A4479 T79
A3266 T137
A970 T79
